variant,layer_meta_cos_offdiag,controller_entropy_bits,temp_factor_mean,temp_factor_std,awareness_inter_dist,awareness_intra_dist,awareness_ratio,inter_batch_meta_mse
GPT (¦Á=¦Â=¦Ã=¦Ä=0),0.9956989884376526,1.5848073959350586,0.9971035718917847,2.8190174816700164e-07,0.43328398279845715,0.03201117366552353,13.534975391724034,3.0443965570725595e-07
Aware only (¦Â=0.005),0.9934418201446533,1.58474862575531,0.9961585998535156,1.530171630292898e-06,0.356520326808095,0.026444874393443268,13.481132123068964,2.536592322854858e-07
Meta only (¦Á=0.01),0.9954983592033386,1.5846478939056396,0.99537193775177,1.615124347154051e-06,0.39181266725063324,0.030130936143298943,13.003235682807878,1.981687347551997e-07
Full (¦Á+¦Â+¦Ã+¦Ä),0.05773927643895149,0.024876076728105545,0.8003935813903809,5.145586783328326e-07,0.3167199529707432,0.021584939677268267,14.672511723187792,3.6220659360708396e-08
