variant,step,train_ce,valid_ppl,elapsed,params,alpha,beta,gamma,delta
metacog_full,50,6.328436851501465,503.42324843270785,33.05705523490906,17020086,0.01,0.005,0.02,0.005
metacog_full,100,4.31301212310791,72.04526024137694,68.49728775024414,17020086,0.01,0.005,0.02,0.005
metacog_full,150,3.560706853866577,40.39135897006037,104.360924243927,17020086,0.01,0.005,0.02,0.005
metacog_full,200,3.014894485473633,19.86766196771517,140.00286149978638,17020086,0.01,0.005,0.02,0.005
metacog_full,250,2.321927070617676,12.42174690763615,176.03773546218872,17020086,0.01,0.005,0.02,0.005
metacog_full,300,2.20733904838562,9.243182433723021,213.20799040794373,17020086,0.01,0.005,0.02,0.005
