variant,step,train_ce,valid_ppl,elapsed,params,alpha,beta,gamma,delta
gpt,50,6.350207328796387,486.12733377139494,35.17698788642883,17020086,0.0,0.0,0.0,0.0
gpt,100,4.2443528175354,71.13420642003798,73.64936447143555,17020086,0.0,0.0,0.0,0.0
gpt,150,3.927616596221924,40.31667483171777,112.1381528377533,17020086,0.0,0.0,0.0,0.0
gpt,200,2.8991198539733887,19.382809767429084,150.37203407287598,17020086,0.0,0.0,0.0,0.0
gpt,250,2.6731369495391846,12.132330093330111,188.6443326473236,17020086,0.0,0.0,0.0,0.0
gpt,300,2.4022560119628906,9.201143900124423,226.89813661575317,17020086,0.0,0.0,0.0,0.0
