variant,step,train_ce,valid_ppl,elapsed,params,alpha,beta,gamma,delta
metacog_aware_only,50,6.611203193664551,565.1865499425738,31.698015928268433,17020086,0.0,0.005,0.0,0.0
metacog_aware_only,100,4.330564022064209,71.23910216850774,65.77166414260864,17020086,0.0,0.005,0.0,0.0
metacog_aware_only,150,3.4965109825134277,39.89804345740159,99.9510886669159,17020086,0.0,0.005,0.0,0.0
metacog_aware_only,200,3.1217973232269287,20.1834604551982,134.56891107559204,17020086,0.0,0.005,0.0,0.0
metacog_aware_only,250,2.5934412479400635,12.20311880070038,169.0386950969696,17020086,0.0,0.005,0.0,0.0
metacog_aware_only,300,2.1879897117614746,8.787422630085223,203.56932997703552,17020086,0.0,0.005,0.0,0.0
